_id,eventType,about,startDate,endDate,lat,lon,country,locality,streetAddress,administrativeArea,postalCode,show._id,show.name,show.interests,organizations._id,organizations.name
5877b1f417334f313edb4120,Performance,,Wed Mar 22 2017 07:00:00 GMT+0000 (UTC),Sun Apr 16 2017 07:00:00 GMT+0000 (UTC),42.645133,-71.304191,United States,Lowell,50 East Merrimack Street,Massachusetts,01852,5877c42d17334f313edb6e46,Chill,,5877b75417334f313edb4e9d,Merrimack Repertory Theatre
LNftZMZ3kWW3mtgYY,Performance,http://tendays.org.au/event/the-god-that-comes/,Tue Mar 21 2017 20:00:00 GMT+0000 (UTC),Tue Mar 21 2017 20:00:00 GMT+0000 (UTC),-41.1771844,146.36045920000004,Australia,Devonport,151 Rooke Street,Tasmania,7310,AdK7Q9HGgRJSuK2Wy,The God That Comes,,TGFsYLQwERcYgbno2,2b theatre company
n3NzGgFAa55oc7t5W,Performance,https://www.northernrep.co.uk/amsnd,Tue Mar 21 2017 20:00:00 GMT+0000 (UTC),Fri Apr 14 2017 20:00:00 GMT+0000 (UTC),53.47737530000001,-2.249042599999939,United Kingdom,Manchester,235 Deansgate,England,M3 4EN,BapuudFgKLidc9C79,A Midsummer Night's Dream,,E2mL4WjoT6F5s2B3i,Northern Rep
LgLXQpRi3KdD3Cyvz,Performance,http://electrotheatre.com/events/psychosis,Mon Mar 20 2017 20:00:00 GMT+0000 (UTC),Wed Mar 22 2017 20:00:00 GMT+0000 (UTC),55.7668788,37.60087429999999,Russia,Moscow,23 Tverskaya Street,Moscow,125009,NJwodhJgME5aQnAHh,Alexander Zeldovich and AES+F's Psychosis,,thnvZayxCAh7bcbCd,Stanislavsky Electrotheatre
WtsTwMe5d6Q86vMp7,Reading,,Sun Mar 19 2017 20:00:00 GMT+0000 (UTC),Sun Mar 19 2017 20:00:00 GMT+0000 (UTC),40.4276598,-80.02402990000002,United States,Pittsburgh,840 Saw Mill Run Boulevard,Pennsylvania,15220,bTsxzHw9zcuZmCqjH,The Road to Wigan Pier,,5877b89117334f313edb5175,Prime Stage Theatre
ynXw4FYTCdxG85jeb,Performance,fountaintheatre.com/event/building-the-wall/,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sun Aug 27 2017 20:00:00 GMT+0000 (UTC),34.09508389999999,-118.29985879999998,United States,Los Angeles,5060 Fountain Avenue,California,90029,zDfkQo3rbzff9rGju,Building the Wall,,5877b76e17334f313edb4ed9,The Fountain Theatre
tae2DbNMKsQG4Sggt,Performance,http://mitsp.org/2017/mateluna/,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Tue Mar 21 2017 20:00:00 GMT+0000 (UTC),-22.9071494,-43.18218289999999,Brazil,Rio de Janeiro,Praça Tiradentes,Rio de Janeiro,20060-080,yBvdRwpgJwNoyHSBq,Mateluna,,wDxseynxcWpFdZnJc,Mostra Internacional de Teatro de Sao Paulo
YJH2gMfZzqzma6byT,Performance,,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),40.4061417,-80.08862479999999,United States,Carnegie,25 West Main Street,Pennsylvania,15106,PLCqctKtNMPDZ7GfZ,Voices,,5877b88f17334f313edb5170,Off the Wall Productions
wApQ9AaTHKCTHrWFC,Performance,,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sun Mar 26 2017 20:00:00 GMT+0000 (UTC),40.3833535,-79.76128779999999,United States,Trafford,235 Cavitt Avenue,Pennsylvania,15085,QDFNQfvABsbMmzR3R,There's a Monster in My Closet!,,5877b9b017334f313edb540d,The Theatre Factory
ZK3Hbbv4SxbunRZ7B,Performance,,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sun Mar 26 2017 20:00:00 GMT+0000 (UTC),40.3333824,-79.71068589999999,United States,Irwin,222 Main Street,Pennsylvania,15642,jGESQo7DZFm5EfMmq,It Shoulda Been You,,zQHP3w3k9LQvdgnuC,Pendemer Productions
dXyJADmR9Evt5si7J,Performance,http://www.spellboundtheatre.com/a-book-of-hours.html,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sat Feb 18 2017 20:00:00 GMT+0000 (UTC),40.67300090000001,-73.98460399999999,United States,Brooklyn,336 3rd Street,New York,11215,G8oJHarqN6Q5CB8BZ,A Book of Hours,,2fqufoCcJd9aZstMG,Spellbound Theatre
ZRPyGPuW93ciqcCtX,Performance,celcit.org.ar/espectaculos/137/las-ocampo-encuentros-y-distancias/,Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sat Apr 01 2017 20:00:00 GMT+0000 (UTC),-34.6113106,-58.37247230000003,Argentina,Buenos Aires,431 Moreno,Ciudad Autónoma de Buenos Aires,C1091,We9dqbvtHw2dhbq39,"Las Ocampo, encuentros y distancias",,6GyEXzuBnXFvchTCE,"Centro Latinoamericano de Creación e Investigación Teatral, CELCIT."
JQYMx2h8BmFzTEFro,Performance,"The A.D. PLAYERS Theater Arts Academy proudly presents: James & the Giant Peach Jr.!  The Players have been performing theater in Houston, TX and internationally for 49 years.   For 25 Years the Theater Arts Academy has been part of the company’s year-round commitment to our community. We develop the spirit and talents of children through the power of theater.   The Academy is pleased to announce our Spring All-Star Camp production of James & the Giant Peach Jr. Actors ages 10-19 from the Houston area and beyond are performing in this show!   Based on Roald Dahl’s poignantly quirky story, Roald Dahl's James and the Giant Peach JR. is a brand new take on this ""masterpeach"" of a tale.  Featuring a wickedly tuneful score and a witty and charming book, this adventurous musical about courage and self-discovery is destined to be a classic.",Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),Sun Feb 19 2017 20:00:00 GMT+0000 (UTC),29.7388042,-95.4719852,United States,Houston,5420 Westheimer Road,Texas,77056,fnN6zdQ3vg4hWQhYY,James & the Giant Peach JR,,b75QPudAffr734AZQ,A.D. Players Theater Arts Academy
FT7dEYgjqSsgSmCuG,Performance,https://actorstheatre.org/2016/11/15/actors-theatre-louisville-announces-lineup-41st-humana-festival-new-american-plays-march-1-april-9-2017/,Sat Mar 18 2017 00:00:00 GMT+0000 (UTC),Mon Apr 10 2017 00:00:00 GMT+0000 (UTC),38.2559226,-85.75536920000002,United States,Louisville,316 West Main Street,Kentucky,40202,kj3iYCLihcH7PaAoB,Melto Man and Lady Mantis,,73Kt3JLMoeMGN9BxC,Humana Festival of New American Plays 2017
B3oAE4BoY38nzxn6s,Performance,http://sonderslc.com,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Apr 22 2017 20:00:00 GMT+0000 (UTC),40.760393,-111.89434900000003,United States,Salt Lake City,404 South West Temple,Utah,84101,aXv5rXQMQ8GZAoN45,Sonder,,5877bcc517334f313edb5b27,Sackerson
wz7mNBa4FGjXjxAxz,Performance,https://www.yalerep.org/productions-and-programs/production/Assassins,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Apr 08 2017 20:00:00 GMT+0000 (UTC),41.30827559999999,-72.93148789999998,United States,New Haven,1120 Chapel Street,Connecticut,06510,5877c22717334f313edb6907,Assassins,,5877b7f117334f313edb5004,Yale Repertory Theatre
J2tAT6gnKQvX2R2yi,Performance,,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),40.3251252,-79.54432259999998,United States,Greensburg,951 Old Salem Road,Pennsylvania,15601,aLuc4ajmZTmsMvxx4,Clowns' Play,,5877b9b117334f313edb540f,Greensburg Civic Theatre
KxPekHmpS3Np64JYA,Reading,,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),40.4061417,-80.08862479999999,United States,Carnegie,25 West Main Street,Pennsylvania,15106,drLBNLtghQhexr33Q,"Still, Birth",,5877b88f17334f313edb5170,Off the Wall Productions
jWQ8k9cMJWAvfBwQK,Performance,https://www.cialavaca.com/agrolandia,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Feb 25 2017 20:00:00 GMT+0000 (UTC),-27.5976866,-48.54942030000001,Brazil,Florianópolis,"Praça XV de Novembro, 344",Santa Catarina,,Hros4RA5hgoT8DTGS,O Homem de Agrolândia,,DD4bvyFQ5XYCGjeu9,La Vaca Companhia de Artes Cênicas
DCZyjpGrjM6kE2LrT,Performance,,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),33.8937217,-84.2956704,United States,Chamblee,5522 New Peachtree Road,Georgia,30341,5877c2ce17334f313edb6ab3,Two Girls,,aH4yD5PFi33KX5y3j,Onion Man Productions
STr2B8tNNAdkXFnoA,Performance,www.thecivicstourport.co.uk/Immersion-Alice.php,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),52.3393867,-2.283008500000051,United Kingdom,Stourport-on-Severn,Martins Way,England,DY13 8UJ,R5Wq927E5bXgjXW97,Alice In Wonderland,,uEefuJg6d8GCMymdE,"The Civic, Stourport"
saMLaf27RuE77YMrR,Performance,http://thechambertheatre.com/dolls-house.htm,Fri Mar 17 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),38.23841607280276,-85.76276421546936,United States,Louisville,1031 S 6th St.,Kentucky,40202,tMsyNXHFDPRiYZR8A,A Doll's House,,3xqhpT5kYp3XdZxDA,The Chamber Theatre
8Y8RaSgwivxsxb8Wc,Performance,,Thu Mar 16 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),37.9710372,-122.34023339999999,United States,San Pablo,2600 Mission Bell Drive (On the corner of El Portal and Castro),California,94806,tHGbJYiwjraWWg9Ye,Two Sisters and a Piano,,5877bcc217334f313edb5b21,Contra Costa College
eqEZ4P7kJYeohDAP7,Performance,https://www.rada.ac.uk/whats-on/rada-productions/2393,Thu Mar 16 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),51.52140989999999,-0.1302395999999817,United Kingdom,London,Malet Street,England,,5877c35b17334f313edb6c21,The Winter's Tale,,shFnnuzPzDZxkpKLn,Royal Academy of Dramatic Art (RADA)
KAKEkPhHCeHy3fMWb,Performance,http://www.2btheatre.com/sub-category-1/current/what-a-young-wife-ought-to-know-2/,Wed Mar 15 2017 20:00:00 GMT+0000 (UTC),Sat Mar 18 2017 20:00:00 GMT+0000 (UTC),49.2407562,-122.96948359999999,Canada,Burnaby,6450 Deer Lake Avenue,British Columbia,V5G 2J3,ddWYS7dsMzeBAdwaf,What A Young Wife Ought To Know,,TGFsYLQwERcYgbno2,2b theatre company
JJioZx8WYggbNoNGp,Performance,http://www.stt1986.com/,Wed Mar 15 2017 20:00:00 GMT+0000 (UTC),Sat Apr 01 2017 20:00:00 GMT+0000 (UTC),37.5828938,126.99629090000008,South Korea,Seoul,Jongno-gu Myeongryun3ga 1-220 (종로구 명륜3가 1-220),,,XshoAwBTuDJ5DNoJ6,O-Gu: A Ceremony of Death (오구-죽음의 형식),,cSdWMdWqa5ypj6ePP,"Ensemble ""Georipae"" (연희단거리패)"
JRL2ZZWBTdSyRiouE,Performance,,Wed Mar 15 2017 20:00:00 GMT+0000 (UTC),Sun Mar 19 2017 20:00:00 GMT+0000 (UTC),40.43698109999999,-79.99024350000002,United States,Pittsburgh,600 Forbes Avenue,Pennsylvania,15282,XNCqPi6RbQfhbHgCH,Bloody Bloody Andrew Jackson,,5877b90717334f313edb5285,Duquesne University Red Masquers
6S6yY3vMsP5mYNNDs,Performance,https://www.rada.ac.uk/whats-on/rada-productions/2392,Wed Mar 15 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),51.52140989999999,-0.1302395999999817,United Kingdom,London,Malet Street,England,,DsFyKr4QhTEM9wfDS,Vinegar Tom,,shFnnuzPzDZxkpKLn,Royal Academy of Dramatic Art (RADA)
A5t9qHmpRcSuDXiGJ,Performance,http://www.outfoxproductions.com,Tue Mar 14 2017 20:00:00 GMT+0000 (UTC),Fri Mar 31 2017 20:00:00 GMT+0000 (UTC),51.453499,-0.03834200000005694,United Kingdom,London,410 Brockley Road,England,SE4 2DH,88zfAGxaRrHFRFcpt,The Bad Seed by Maxwell Anderson,,4NH4auDrpg4rWBYga,OutFox Productions
K3hfiFCiSTvTCMdjo,Reading,https://www.brava.org/all-events/2017/7/6/ghost-limb,Tue Mar 14 2017 20:00:00 GMT+0000 (UTC),Tue Mar 14 2017 20:00:00 GMT+0000 (UTC),37.75267519999999,-122.40782580000001,United States,San Francisco,2781 24th Street,California,94110,kqZbzAeedDkzg48yn,Ghost Limb,,HjDcmjHTsx2Wb3QwZ,Brava Theater Center
shN3K78HsASh5hcRq,Performance,https://www.rada.ac.uk/whats-on/rada-productions/2391,Tue Mar 14 2017 20:00:00 GMT+0000 (UTC),Sat Mar 25 2017 20:00:00 GMT+0000 (UTC),51.52140989999999,-0.1302395999999817,United Kingdom,London,Malet Street,England,,8N6YDWZPzRPcfuERu,A Bitter Herb,,shFnnuzPzDZxkpKLn,Royal Academy of Dramatic Art (RADA)
KC4WkYENzosDYt3Su,Performance,,Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),40.4061417,-80.08862479999999,United States,Carnegie,25 West Main Street,Pennsylvania,15106,uWk77Fpk7WHotGir9,Sensual Home Shopping With VyVyan Vyxn,,5877b88f17334f313edb5170,Off the Wall Productions
qB7K8BPvvmDJTBJv5,Performance,"This performance explores the traces that lie in between—sound & silence, light & dark, past & present, physical & transcendental—through the piano music of Tan Dun, choreography by Ivan Perez and Ming-Lung Yang, with direction and design by Cryptic. http://www.cryptic.org.uk/portfolio/hui/",Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),53.213947,6.576351499999987,Netherlands,Groningen,"De Oosterpoort, 27 Trompsingel",Groningen,9724 DA,jFwnDdQ7W67auxFJs,"HUI: snow, moon & flower",,Mezpt4jC2v225vshR,Cryptic
bz6EnuW5GBc6sgohx,Workshop,"The premiere theatre industry convening in the western United States, offering attendees the opportunity to network with over 400 industry professionals, share strategies on trending issues, develop skills, and build community. It’s the place to get the information and contacts you need to take your organization or individual career to the next level.  Register: http://www.theatrebayarea.org/TbaCon17",Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),Mon Mar 13 2017 20:00:00 GMT+0000 (UTC),37.7749295,-122.41941550000001,United States,San Francisco,,California,,ipCG6vXWJrJsemxtA,2017 Annual Conference - Setting the Stage: New World. Brave Theatre.,,eiqpgBz6Ndx88fo2z,Theatre Bay Area
F89DmuiMFooKhg6Mk,Performance,,Sat Mar 11 2017 20:00:00 GMT+0000 (UTC),Sat Mar 11 2017 20:00:00 GMT+0000 (UTC),40.44329159999999,-79.99557119999997,United States,Pittsburgh,980 Liberty Avenue,Pennsylvania,15222,oQ2eDEJPjpQsrcupx,B.U.S.,,5877b88c17334f313edb516a,Bricolage Production Company
mWmpJnuScNT3worHZ,Performance,http://electrotheatre.com/events/theatrical-insomnia-seagull,Sat Mar 11 2017 20:00:00 GMT+0000 (UTC),Sun Mar 12 2017 20:00:00 GMT+0000 (UTC),55.7668788,37.60087429999999,Russia,Moscow,23 Tverskaya Street,Moscow,125009,EEXeikppPgDq49daE,Theatrical Insomnia: The Seagull,,thnvZayxCAh7bcbCd,Stanislavsky Electrotheatre
5877b1b017334f313edb4083,Performance,,Sat Mar 11 2017 08:00:00 GMT+0000 (UTC),Sun Apr 02 2017 07:00:00 GMT+0000 (UTC),40.429264,-79.985027,United States,Pittsburgh,1300 Bingham Street,Pennsylvania,15203,5877c40017334f313edb6dd1,The Guard,,5877b7b017334f313edb4f70,City Theatre Co
Xrvgq4KS9EJa7cA8n,Performance,,Fri Mar 10 2017 20:00:00 GMT+0000 (UTC),Sun Mar 26 2017 20:00:00 GMT+0000 (UTC),40.34396309999999,-79.85709580000002,United States,McKeesport,1614 Coursin Street,Pennsylvania,15132,t8korWHLqcZ8YjTpr,Polish Joke,,5877b9b217334f313edb5410,McKeesport Little Theatre
NrJbicgAZuovq5acv,Performance,http://www.huntingtontheatre.org/season/2016-2017/topdog-underdog/,Fri Mar 10 2017 20:00:00 GMT+0000 (UTC),Sun Apr 09 2017 20:00:00 GMT+0000 (UTC),42.341722,-71.08554219999996,United States,Boston,264 Huntington Avenue,Massachusetts,02115,Ck59L2CHhkzM62GZq,Topdog/Underdog,,5877b7c317334f313edb4f9b,Huntington Theatre Company
